60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.5682833195,799.9841309,0.6636798382,799.9841309,0.6608788371,799.9841309,0.8698649406,799.9841309,0.882938087,799.9841309,0.8865180612,799.9841309,1.03818059,799.9841309,1.047138929,799.9841309,1.073542714,
799.0136719,0.5709570646,799.0136719,0.6670883298,799.0136719,0.6606038809,799.0136719,0.8717395663,799.0136719,0.8863016963,799.0136719,0.8904762268,799.0136719,1.034613132,799.0136719,1.05149591,799.0136719,1.079093575,
798.0082397,0.5722423196,798.0082397,0.6664014459,798.0082397,0.6635921001,798.0082397,0.8752262592,798.0082397,0.8866193295,798.0082397,0.8940726519,798.0082397,1.047769427,798.0082397,1.051936865,798.0082397,1.079845428,
797.0023193,0.574919343,797.0023193,0.6666674018,797.0023193,0.6636252403,797.0023193,0.874155283,797.0023193,0.8951000571,797.0023193,0.8989886642,797.0023193,1.043573856,797.0023193,1.061392307,797.0023193,1.082894444,
795.9959717,0.5771287084,795.9959717,0.6700223684,795.9959717,0.6654487252,795.9959717,0.8753193021,795.9959717,0.8919663429,795.9959717,0.8978095055,795.9959717,1.044406891,795.9959717,1.058089018,795.9959717,1.085921168,
794.9893188,0.5791394114,794.9893188,0.6735414863,794.9893188,0.6666358113,794.9893188,0.8776420355,794.9893188,0.8930361271,794.9893188,0.8963751793,794.9893188,1.055336714,794.9893188,1.058633804,794.9893188,1.09008348,
794.0169067,0.5806869864,794.0169067,0.6745529175,794.0169067,0.6706318855,794.0169067,0.8869383931,794.0169067,0.9002822042,794.0169067,0.9008395076,794.0169067,1.051169276,794.0169067,1.065566778,794.0169067,1.087641001,
793.0094604,0.5801001191,793.0094604,0.6733881831,793.0094604,0.6670638919,793.0094604,0.8832483888,793.0094604,0.9012628198,793.0094604,0.9027273059,793.0094604,1.053784728,793.0094604,1.060498834,793.0094604,1.102270365,
792.0015259,0.5843864679,792.0015259,0.6784069538,792.0015259,0.6732966304,792.0015259,0.8811339736,792.0015259,0.9006384015,792.0015259,0.906396091,792.0015259,1.066696405,792.0015259,1.05903089,792.0015259,1.088767767,
790.9932861,0.5855754018,790.9932861,0.6793353558,790.9932861,0.6750871539,790.9932861,0.8867996931,790.9932861,0.907976985,790.9932861,0.9057409167,790.9932861,1.06328249,790.9932861,1.067284465,790.9932861,1.101769209,
789.9846191,0.5858638287,789.9846191,0.6809775829,789.9846191,0.6783815622,789.9846191,0.888245523,789.9846191,0.9031815529,789.9846191,0.9153111577,789.9846191,1.066123486,789.9846191,1.075132966,789.9846191,1.097473264,
789.0103149,0.5878043175,789.0103149,0.6812238693,789.0103149,0.6784595251,789.0103149,0.8969092965,789.0103149,0.9116388559,789.0103149,0.9180356264,789.0103149,1.06017518,789.0103149,1.070393801,789.0103149,1.100193977,
788.0007935,0.5890170932,788.0007935,0.6826249361,788.0007935,0.6809251904,788.0007935,0.8955822587,788.0007935,0.9091901779,788.0007935,0.9108470678,788.0007935,1.070619464,788.0007935,1.072967649,788.0007935,1.101501346,
786.9909668,0.5914627314,786.9909668,0.6823472381,786.9909668,0.6827274561,786.9909668,0.8955894113,786.9909668,0.9087851644,786.9909668,0.9163020849,786.9909668,1.063792825,786.9909668,1.081631899,786.9909668,1.106420875,
786.015564,0.5959290266,786.015564,0.6889264584,786.015564,0.6863077879,786.015564,0.901681304,786.015564,0.9092749953,786.015564,0.9252144694,786.015564,1.062317729,786.015564,1.09072125,786.015564,1.111593485,
785.0048828,0.5953071117,785.0048828,0.6867415905,785.0048828,0.6894683838,785.0048828,0.9039987922,785.0048828,0.9089597464,785.0048828,0.9184792042,785.0048828,1.072297573,785.0048828,1.08422637,785.0048828,1.107462883,
783.9937744,0.5939724445,783.9937744,0.6886588931,783.9937744,0.6873223782,783.9937744,0.8987844586,783.9937744,0.9224947691,783.9937744,0.928992331,783.9937744,1.07784164,783.9937744,1.085594177,783.9937744,1.113315463,
783.0172729,0.5984517336,783.0172729,0.6883888245,783.0172729,0.6920092106,783.0172729,0.9038797617,783.0172729,0.9174955487,783.0172729,0.9325881004,783.0172729,1.079013705,783.0172729,1.084980488,783.0172729,1.120541215,
782.0053711,0.5999038219,782.0053711,0.6917766333,782.0053711,0.6862900257,782.0053711,0.9094642401,782.0053711,0.9215297103,782.0053711,0.9335800409,782.0053711,1.081185341,782.0053711,1.092238784,782.0053711,1.135777593,
780.9931641,0.6021257043,780.9931641,0.6988583207,780.9931641,0.6937066317,780.9931641,0.9068715572,780.9931641,0.9287853837,780.9931641,0.9360336661,780.9931641,1.082952142,780.9931641,1.097619891,780.9931641,1.120590806,
780.0154419,0.6019839048,780.0154419,0.695383966,780.0154419,0.6964759827,780.0154419,0.9131279588,780.0154419,0.9294575453,780.0154419,0.9303476214,780.0154419,1.081829309,780.0154419,1.09871459,780.0154419,1.132877946,
779.0025024,0.6053801775,779.0025024,0.6974841356,779.0025024,0.7015835643,779.0025024,0.9099537134,779.0025024,0.9326156974,779.0025024,0.9403964281,779.0025024,1.07895577,779.0025024,1.093283415,779.0025024,1.135017872,
777.9890747,0.602434814,777.9890747,0.7043494582,777.9890747,0.6967582107,777.9890747,0.9227129817,777.9890747,0.9289047718,777.9890747,0.9423428774,777.9890747,1.098214865,777.9890747,1.098010659,777.9890747,1.127634287,
