H20,,60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,-0.0004372526892,799.9841309,0.5059759021,799.9841309,0.5908121467,799.9841309,0.5748223066,799.9841309,0.835259676,799.9841309,0.8070322871,799.9841309,0.809143424,799.9841309,0.996587038,799.9841309,1.142128348,799.9841309,1.039467692,
799.0136719,0.001501831342,799.0136719,0.5066936016,799.0136719,0.5915309191,799.0136719,0.5770953298,799.0136719,0.8355920911,799.0136719,0.8083884716,799.0136719,0.8116930127,799.0136719,0.9981200695,799.0136719,1.149066567,799.0136719,1.046316624,
798.0082397,0.0008515766822,798.0082397,0.5066106319,798.0082397,0.5922086239,798.0082397,0.5763810873,798.0082397,0.8323638439,798.0082397,0.807027638,798.0082397,0.8113216162,798.0082397,0.9955075383,798.0082397,1.136134505,798.0082397,1.036946654,
797.0023193,0.001841101795,797.0023193,0.508466959,797.0023193,0.5935185552,797.0023193,0.5774979591,797.0023193,0.8389359117,797.0023193,0.8069981337,797.0023193,0.816080153,797.0023193,0.9936255813,797.0023193,1.140264392,797.0023193,1.042096615,
795.9959717,-0.0001141421162,795.9959717,0.5091156363,795.9959717,0.5914521217,795.9959717,0.5774186254,795.9959717,0.8411815166,795.9959717,0.8124918938,795.9959717,0.8112565279,795.9959717,0.9985003471,795.9959717,1.151917458,795.9959717,1.038738251,
794.9893188,-0.0003165735397,794.9893188,0.507810533,794.9893188,0.5926433802,794.9893188,0.5765117407,794.9893188,0.8374196291,794.9893188,0.8090011477,794.9893188,0.8110723495,794.9893188,0.9978191257,794.9893188,1.141481996,794.9893188,1.043467522,
794.0169067,0.001347173937,794.0169067,0.5086382627,794.0169067,0.596878171,794.0169067,0.5781511068,794.0169067,0.841186583,794.0169067,0.8145509958,794.0169067,0.8191447258,794.0169067,0.9942826033,794.0169067,1.152556062,794.0169067,1.050824165,
793.0094604,-0.0007923193625,793.0094604,0.5091846585,793.0094604,0.5954122543,793.0094604,0.5795199275,793.0094604,0.8414695263,793.0094604,0.8138037324,793.0094604,0.8194335103,793.0094604,1.000013947,793.0094604,1.147141814,793.0094604,1.044528008,
792.0015259,0.0004206176382,792.0015259,0.5095478892,792.0015259,0.5941674709,792.0015259,0.57840693,792.0015259,0.8471445441,792.0015259,0.8070636988,792.0015259,0.8190297484,792.0015259,1.008251786,792.0015259,1.157140374,792.0015259,1.051304936,
790.9932861,0.0002731051645,790.9932861,0.5104800463,790.9932861,0.5997527242,790.9932861,0.5797799826,790.9932861,0.8477169871,790.9932861,0.8120445013,790.9932861,0.8191270232,790.9932861,1.005870223,790.9932861,1.156949759,790.9932861,1.048506379,
789.9846191,0.001350160106,789.9846191,0.5103728771,789.9846191,0.5963594317,789.9846191,0.5829553008,789.9846191,0.845338881,789.9846191,0.8118171096,789.9846191,0.8158448935,789.9846191,0.9994322658,789.9846191,1.150262952,789.9846191,1.056429267,
789.0103149,-2.800771472E-005,789.0103149,0.5099938512,789.0103149,0.5963946581,789.0103149,0.5803487897,789.0103149,0.8463371992,789.0103149,0.8126710057,789.0103149,0.816192925,789.0103149,1.002973795,789.0103149,1.16007185,789.0103149,1.044536233,
788.0007935,0.001339617884,788.0007935,0.5117695928,788.0007935,0.5990812778,788.0007935,0.5829765201,788.0007935,0.8455843925,788.0007935,0.8187799454,788.0007935,0.8192114234,788.0007935,1.002454042,788.0007935,1.151989698,788.0007935,1.051990986,
786.9909668,0.00177705253,786.9909668,0.5133609176,786.9909668,0.6009784341,786.9909668,0.580444932,786.9909668,0.8443799615,786.9909668,0.8163427711,786.9909668,0.8206749558,786.9909668,1.004827976,786.9909668,1.151359677,786.9909668,1.058735609,
786.015564,0.002184878103,786.015564,0.5139926672,786.015564,0.6026187539,786.015564,0.5848548412,786.015564,0.8510137796,786.015564,0.8207358718,786.015564,0.8206099868,786.015564,1.018407822,786.015564,1.15612781,786.015564,1.059707999,
785.0048828,0.001197633334,785.0048828,0.5133491755,785.0048828,0.5997199416,785.0048828,0.581364274,785.0048828,0.8492243886,785.0048828,0.8193087578,785.0048828,0.8222762346,785.0048828,1.003422618,785.0048828,1.157117844,785.0048828,1.058145165,
783.9937744,-4.969821384E-005,783.9937744,0.5108622313,783.9937744,0.596816957,783.9937744,0.583322227,783.9937744,0.8444896936,783.9937744,0.8197771907,783.9937744,0.8209812641,783.9937744,0.9969639778,783.9937744,1.156865835,783.9937744,1.062631249,
783.0172729,0.0001312875829,783.0172729,0.5118312836,783.0172729,0.6023383141,783.0172729,0.5847058296,783.0172729,0.8490675092,783.0172729,0.8238726258,783.0172729,0.8204399347,783.0172729,1.005451679,783.0172729,1.157655478,783.0172729,1.061184406,
782.0053711,0.001170846052,782.0053711,0.5149772763,782.0053711,0.6005373597,782.0053711,0.584975481,782.0053711,0.8482365608,782.0053711,0.8200061321,782.0053711,0.8252837062,782.0053711,1.00863874,782.0053711,1.162616253,782.0053711,1.062514544,
780.9931641,0.001232781098,780.9931641,0.5151236057,780.9931641,0.6032474637,780.9931641,0.5868639946,780.9931641,0.8539699912,780.9931641,0.826562345,780.9931641,0.8242200017,780.9931641,1.011881709,780.9931641,1.169005156,780.9931641,1.05596745,
780.0154419,0.0007021288038,780.0154419,0.5163516402,780.0154419,0.6049839258,780.0154419,0.5869964957,780.0154419,0.8539272547,780.0154419,0.8229483366,780.0154419,0.8231164217,780.0154419,1.009572864,780.0154419,1.161530018,780.0154419,1.063346386,
779.0025024,0.0003334615903,779.0025024,0.5140935183,779.0025024,0.6055297256,779.0025024,0.587449789,779.0025024,0.8534454703,779.0025024,0.8170762062,779.0025024,0.823078692,779.0025024,1.013047457,779.0025024,1.167233229,779.0025024,1.060422897,
777.9890747,-0.000388322951,777.9890747,0.5154231787,777.9890747,0.6054848433,777.9890747,0.587878108,777.9890747,0.8541534543,777.9890747,0.8205015063,777.9890747,0.8268412352,777.9890747,1.009651303,777.9890747,1.177268147,777.9890747,1.06193924,
777.0102539,0.001086212229,777.0102539,0.5174233913,777.0102539,0.6031602025,777.0102539,0.5891569257,777.0102539,0.8583171368,777.0102539,0.8262546062,777.0102539,0.8263831139,777.0102539,1.020102382,777.0102539,1.164738059,777.0102539,1.055432558,
775.9960938,0.001412302605,775.9960938,0.5186195374,775.9960938,0.6067810059,775.9960938,0.5899717808,775.9960938,0.8582798243,775.9960938,0.8293247223,775.9960938,0.8289170861,775.9960938,1.014733076,775.9960938,1.158153176,775.9960938,1.065398693,
775.0164795,0.002277376829,775.0164795,0.5198107362,775.0164795,0.6079441905,775.0164795,0.5933172107,775.0164795,0.8538786769,775.0164795,0.8303718567,775.0164795,0.8318806291,775.0164795,1.017518163,775.0164795,1.164297223,775.0164795,1.062557459,
774.0015259,0.001243372797,774.0015259,0.516153574,774.0015259,0.6090741158,774.0015259,0.5916514993,774.0015259,0.8543500304,774.0015259,0.8246403933,774.0015259,0.8321284652,774.0015259,1.022714138,774.0015259,1.171580672,774.0015259,1.063213706,
772.9862061,0.0009894266259,772.9862061,0.5185523033,772.9862061,0.6058933735,772.9862061,0.5905712843,772.9862061,0.858610332,772.9862061,0.8260064721,772.9862061,0.8337851167,772.9862061,1.0184865,772.9862061,1.163049579,772.9862061,1.057065487,
772.0054932,1.685209281E-005,772.0054932,0.5177226067,772.0054932,0.6102558374,772.0054932,0.591045022,772.0054932,0.8580430746,772.0054932,0.8276906013,772.0054932,0.8357622623,772.0054932,1.014298677,772.0054932,1.173355341,772.0054932,1.068511844,
770.9893799,0.0009109500679,770.9893799,0.5196838379,770.9893799,0.6083187461,770.9893799,0.592074275,770.9893799,0.8552492261,770.9893799,0.8288801908,770.9893799,0.8343653083,770.9893799,1.018759727,770.9893799,1.176648855,770.9893799,1.063747644,
770.0079346,0.0002603873436,770.0079346,0.5197736025,770.0079346,0.6079449058,770.0079346,0.5913406014,770.0079346,0.8612618446,770.0079346,0.8323232532,770.0079346,0.8337643743,770.0079346,1.014143825,770.0079346,1.181287527,770.0079346,1.068182349,
768.9910278,0.0009448294295,768.9910278,0.5205109715,768.9910278,0.6106048226,768.9910278,0.5931488276,768.9910278,0.8658699989,768.9910278,0.8296170831,768.9910278,0.8355289698,768.9910278,1.02248621,768.9910278,1.17968297,768.9910278,1.073676705,
768.0088501,0.001024220255,768.0088501,0.5192136168,768.0088501,0.6112245917,768.0088501,0.5950487852,768.0088501,0.8659170866,768.0088501,0.8345610499,768.0088501,0.8339577913,768.0088501,1.025138259,768.0088501,1.174161792,768.0088501,1.070419908,
766.991272,0.0005607412895,766.991272,0.5223667622,766.991272,0.610689044,766.991272,0.5949082375,766.991272,0.8682067394,766.991272,0.8364289999,766.991272,0.8366740346,766.991272,1.022081017,766.991272,1.176261067,766.991272,1.064884901,
766.0083008,0.001421288354,766.0083008,0.5227286816,766.0083008,0.6124852896,766.0083008,0.5964202285,766.0083008,0.8673180342,766.0083008,0.8312964439,766.0083008,0.8377963901,766.0083008,1.025382876,766.0083008,1.174976826,766.0083008,1.077141643,
764.9899292,0.0004031798453,764.9899292,0.5231143832,764.9899292,0.6142250896,764.9899292,0.597628355,764.9899292,0.8696034551,764.9899292,0.8357611895,764.9899292,0.8393998742,764.9899292,1.031072736,764.9899292,1.175014496,764.9899292,1.073726058,
764.0062866,0.0004817201989,764.0062866,0.5220013261,764.0062866,0.6131637096,764.0062866,0.5983304977,764.0062866,0.8651371598,764.0062866,0.8343833089,764.0062866,0.84019804,764.0062866,1.024240375,764.0062866,1.187360406,764.0062866,1.074113131,
762.9870605,0.001344006043,762.9870605,0.5236062407,762.9870605,0.6163455844,762.9870605,0.5981814265,762.9870605,0.8673388362,762.9870605,0.8368712068,762.9870605,0.8398994207,762.9870605,1.026869059,762.9870605,1.172749281,762.9870605,1.076505661,
762.0026855,0.0001974253682,762.0026855,0.5231264234,762.0026855,0.6151993275,762.0026855,0.5986665487,762.0026855,0.8684872985,762.0026855,0.8399404883,762.0026855,0.8447593451,762.0026855,1.030154228,762.0026855,1.178074002,762.0026855,1.074608564,
760.9827881,0.000927863468,760.9827881,0.5246442556,760.9827881,0.6172343493,760.9827881,0.599017024,760.9827881,0.8706065416,760.9827881,0.8398120403,760.9827881,0.844119966,760.9827881,1.033607721,760.9827881,1.175690532,760.9827881,1.078837872,
759.9976196,0.001073807944,759.9976196,0.5254481435,759.9976196,0.6173049212,759.9976196,0.6013259292,759.9976196,0.8713056445,759.9976196,0.8409986496,759.9976196,0.8466956019,759.9976196,1.032474518,759.9976196,1.176312923,759.9976196,1.075608134,
759.012146,0.0009711098392,759.012146,0.524238646,759.012146,0.617947042,759.012146,0.6016146541,759.012146,0.8723685145,759.012146,0.8385111094,759.012146,0.847555697,759.012146,1.030584812,759.012146,1.183460116,759.012146,1.079017162,
757.9910889,-0.0001849934924,757.9910889,0.52627033,757.9910889,0.6165477633,757.9910889,0.6018348932,757.9910889,0.8719677925,757.9910889,0.8416402936,757.9910889,0.8506046534,757.9910889,1.033560395,757.9910889,1.189726353,757.9910889,1.074843287,
757.0048218,0.001041423529,757.0048218,0.5264096856,757.0048218,0.6213799715,757.0048218,0.6039510369,757.0048218,0.8758774996,757.0048218,0.8423829675,757.0048218,0.8464072347,757.0048218,1.034718752,757.0048218,1.189602137,757.0048218,1.078032374,
755.9830933,0.0001812913833,755.9830933,0.5278055072,755.9830933,0.621195972,755.9830933,0.6054086089,755.9830933,0.8763186932,755.9830933,0.8439471722,755.9830933,0.850059092,755.9830933,1.028902054,755.9830933,1.19013083,755.9830933,1.087793827,
754.9960938,0.0002512960054,754.9960938,0.5264242291,754.9960938,0.6215360761,754.9960938,0.6046115756,754.9960938,0.8814252019,754.9960938,0.8474089503,754.9960938,0.8484624028,754.9960938,1.035393119,754.9960938,1.184086561,754.9960938,1.089488983,
754.0087891,0.0002924027795,754.0087891,0.5296707153,754.0087891,0.6201760769,754.0087891,0.6037827134,754.0087891,0.8775295615,754.0087891,0.8485797048,754.0087891,0.8493484259,754.0087891,1.039148331,754.0087891,1.190232158,754.0087891,1.08153069,
752.9859619,0.0007493978483,752.9859619,0.5287184715,752.9859619,0.6224449277,752.9859619,0.6082397699,752.9859619,0.882758081,752.9859619,0.8485758305,752.9859619,0.8539909124,752.9859619,1.04235816,752.9859619,1.188506722,752.9859619,1.078591704,
751.9978638,0.001156907994,751.9978638,0.529732883,751.9978638,0.6227989197,751.9978638,0.6066328287,751.9978638,0.8829661608,751.9978638,0.8489028215,751.9978638,0.8529827595,751.9978638,1.03646934,751.9978638,1.193703771,751.9978638,1.090861797,
751.0095825,0.0003024793114,751.0095825,0.531368196,751.0095825,0.6232321262,751.0095825,0.6076043248,751.0095825,0.8814432621,751.0095825,0.849616766,751.0095825,0.8522952199,751.0095825,1.043027997,751.0095825,1.187745094,751.0095825,1.089375973,
749.9854736,0.0003675032349,749.9854736,0.5303087831,749.9854736,0.6273937225,749.9854736,0.6091817021,749.9854736,0.8831362724,749.9854736,0.8487163186,749.9854736,0.8549593091,749.9854736,1.043985248,749.9854736,1.193147421,749.9854736,1.091350675,
748.9963989,0.0006741276011,748.9963989,0.5317033529,748.9963989,0.6240528226,748.9963989,0.6093503237,748.9963989,0.8851846457,748.9963989,0.8492087126,748.9963989,0.8579384089,748.9963989,1.042830348,748.9963989,1.197473526,748.9963989,1.09501195,
748.006958,0.0008070195909,748.006958,0.5337975621,748.006958,0.6282938123,748.006958,0.612436533,748.006958,0.8870280981,748.006958,0.8524491191,748.006958,0.855902195,748.006958,1.038628221,748.006958,1.19593215,748.006958,1.096312165,
747.0170898,0.0004018584441,747.0170898,0.532269299,747.0170898,0.6276475191,747.0170898,0.6103069782,747.0170898,0.884819448,747.0170898,0.8537595272,747.0170898,0.860044539,747.0170898,1.047392607,747.0170898,1.19948864,747.0170898,1.091144323,
745.9916382,0.0006065951311,745.9916382,0.5329158902,745.9916382,0.6263415813,745.9916382,0.6135463119,745.9916382,0.88827914,745.9916382,0.8561959863,745.9916382,0.8606569767,745.9916382,1.049173594,745.9916382,1.199785709,745.9916382,1.098500252,
745.0010986,0.0004340138403,745.0010986,0.532328546,745.0010986,0.6298569441,745.0010986,0.6121700406,745.0010986,0.8919688463,745.0010986,0.8547704816,745.0010986,0.8624092937,745.0010986,1.046973109,745.0010986,1.202852964,745.0010986,1.096832156,
744.0101929,0.0008195459377,744.0101929,0.5352413058,744.0101929,0.6296058893,744.0101929,0.6140664816,744.0101929,0.8924474716,744.0101929,0.8579511642,744.0101929,0.8628458977,744.0101929,1.057778239,744.0101929,1.210570812,744.0101929,1.101966262,
742.9835815,0.0008082385175,742.9835815,0.536605835,742.9835815,0.6310623288,742.9835815,0.6159889698,742.9835815,0.8937407136,742.9835815,0.8614495993,742.9835815,0.8639069796,742.9835815,1.056130648,742.9835815,1.208913326,742.9835815,1.099537492,
741.9920044,0.0006704460829,741.9920044,0.5373835564,741.9920044,0.6326921582,741.9920044,0.616713047,741.9920044,0.8974497318,741.9920044,0.8601575494,741.9920044,0.8681942821,741.9920044,1.053591609,741.9920044,1.209497333,741.9920044,1.101751447,
741,0.0003769597097,741,0.5376471281,741,0.6332167387,741,0.616620779,741,0.8965672851,741,0.8589465022,741,0.8684549332,741,1.054657459,741,1.210355997,741,1.106379628,
740.0078125,0.0004936152254,740.0078125,0.5378444791,740.0078125,0.6338416338,740.0078125,0.619543612,740.0078125,0.8971948624,740.0078125,0.8661938906,740.0078125,0.8687441945,740.0078125,1.057536364,740.0078125,1.212545633,740.0078125,1.105182528,
739.0151367,0.001300540869,739.0151367,0.5386307836,739.0151367,0.6375731826,739.0151367,0.6196913719,739.0151367,0.9020528197,739.0151367,0.8635991812,739.0151367,0.8694764972,739.0151367,1.061823964,739.0151367,1.216253877,739.0151367,1.110146642,
737.9866943,0.001120338915,737.9866943,0.540307045,737.9866943,0.6379172206,737.9866943,0.6231673956,737.9866943,0.9020554423,737.9866943,0.8688308001,737.9866943,0.8755472302,737.9866943,1.063008308,737.9866943,1.222446322,737.9866943,1.112463593,
736.9933472,0.0007710245554,736.9933472,0.5437207222,736.9933472,0.6386649013,736.9933472,0.6222378612,736.9933472,0.9065545201,736.9933472,0.86770612,736.9933472,0.8740446568,736.9933472,1.062043667,736.9933472,1.221101761,736.9933472,1.109792233,
735.9996338,0.001662988216,735.9996338,0.5429675579,735.9996338,0.6394026875,735.9996338,0.6266996861,735.9996338,0.9045776725,735.9996338,0.868576467,735.9996338,0.8772135377,735.9996338,1.068900108,735.9996338,1.222770095,735.9996338,1.11492312,
735.0056152,0.0003857686534,735.0056152,0.542157948,735.0056152,0.6406990886,735.0056152,0.624889493,735.0056152,0.9095226526,735.0056152,0.8730375171,735.0056152,0.8789939284,735.0056152,1.068976521,735.0056152,1.229147673,735.0056152,1.121137142,
734.0111694,0.00150481856,734.0111694,0.5442013741,734.0111694,0.6421821117,734.0111694,0.628292799,734.0111694,0.9123827219,734.0111694,0.8764216304,734.0111694,0.8774503469,734.0111694,1.071192622,734.0111694,1.229164958,734.0111694,1.11733079,
733.0164185,0.0008747388492,733.0164185,0.5445808768,733.0164185,0.6456803083,733.0164185,0.6286973953,733.0164185,0.9132916927,733.0164185,0.8740740418,733.0164185,0.882562995,733.0164185,1.075270414,733.0164185,1.232173443,733.0164185,1.125746727,
731.9858398,0.0006081245374,731.9858398,0.5457757115,731.9858398,0.6454021931,731.9858398,0.6297077537,731.9858398,0.9140611887,731.9858398,0.8771107793,731.9858398,0.8860544562,731.9858398,1.077658772,731.9858398,1.231567144,731.9858398,1.12920785,
730.9904175,0.001065685647,730.9904175,0.5469536781,730.9904175,0.6468644142,730.9904175,0.6324582696,730.9904175,0.9164437652,730.9904175,0.8775216341,730.9904175,0.8866320848,730.9904175,1.077232003,730.9904175,1.233146787,730.9904175,1.126976967,
729.9946289,0.0006188046536,729.9946289,0.5487001538,729.9946289,0.6485264301,729.9946289,0.6335531473,729.9946289,0.9166788459,729.9946289,0.8805493712,729.9946289,0.8883113265,729.9946289,1.083291888,729.9946289,1.238759995,729.9946289,1.133352041,
728.9984741,0.00108206016,728.9984741,0.5497836471,728.9984741,0.6484436393,728.9984741,0.6354855299,728.9984741,0.9198191166,728.9984741,0.8824436069,728.9984741,0.8896704316,728.9984741,1.085940838,728.9984741,1.237540841,728.9984741,1.127044678,
728.0020142,0.00146923319,728.0020142,0.5501707792,728.0020142,0.6494701505,728.0020142,0.6350245476,728.0020142,0.9239546061,728.0020142,0.8861408234,728.0020142,0.8927839994,728.0020142,1.086203098,728.0020142,1.246105909,728.0020142,1.136030436,
727.005188,0.0009079150041,727.005188,0.5523848534,727.005188,0.6527634859,727.005188,0.6366330385,727.005188,0.9249645472,727.005188,0.8874380589,727.005188,0.898950994,727.005188,1.081789494,727.005188,1.25002408,727.005188,1.135521412,
