60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.6607704759,799.9841309,0.6718904376,799.9841309,0.6785965562,799.9841309,0.8707667589,799.9841309,0.8637080789,799.9841309,0.8796474338,799.9841309,1.058582067,799.9841309,1.08211422,799.9841309,1.068291068,
799.0136719,0.6588506699,799.0136719,0.6692079306,799.0136719,0.6799640656,799.0136719,0.8717514277,799.0136719,0.8665380478,799.0136719,0.8860350847,799.0136719,1.056197643,799.0136719,1.091992021,799.0136719,1.07602632,
798.0082397,0.6643862724,798.0082397,0.678768754,798.0082397,0.6759384274,798.0082397,0.88285923,798.0082397,0.8697189093,798.0082397,0.8835757375,798.0082397,1.059900284,798.0082397,1.092562795,798.0082397,1.076315045,
797.0023193,0.6654461026,797.0023193,0.6795560718,797.0023193,0.6820309758,797.0023193,0.8764478564,797.0023193,0.8726915121,797.0023193,0.8864524961,797.0023193,1.061189294,797.0023193,1.093134642,797.0023193,1.081348658,
795.9959717,0.6653287411,795.9959717,0.6793971062,795.9959717,0.6788146496,795.9959717,0.8779777288,795.9959717,0.8729373813,795.9959717,0.8875724077,795.9959717,1.062407494,795.9959717,1.09189105,795.9959717,1.075532198,
794.9893188,0.6662961841,794.9893188,0.6792347431,794.9893188,0.6837180257,794.9893188,0.8808611631,794.9893188,0.8775756955,794.9893188,0.8871378303,794.9893188,1.080106854,794.9893188,1.101878643,794.9893188,1.084150553,
794.0169067,0.6709862351,794.0169067,0.6838673353,794.0169067,0.686824441,794.0169067,0.879391849,794.0169067,0.8760299683,794.0169067,0.8980296254,794.0169067,1.069604635,794.0169067,1.096252322,794.0169067,1.087956429,
793.0094604,0.6768959761,793.0094604,0.688672483,793.0094604,0.688980639,793.0094604,0.8871728182,793.0094604,0.886831224,793.0094604,0.8960371614,793.0094604,1.068452835,793.0094604,1.090572476,793.0094604,1.08734107,
792.0015259,0.673373282,792.0015259,0.6887786388,792.0015259,0.6948064566,792.0015259,0.8862817883,792.0015259,0.8861479163,792.0015259,0.8970699906,792.0015259,1.074240327,792.0015259,1.094297647,792.0015259,1.089510322,
790.9932861,0.6722794175,790.9932861,0.6900517941,790.9932861,0.689352572,790.9932861,0.8946686387,790.9932861,0.8918354511,790.9932861,0.8976011872,790.9932861,1.077639818,790.9932861,1.100195765,790.9932861,1.091278553,
789.9846191,0.6800804734,789.9846191,0.6932927966,789.9846191,0.6949723363,789.9846191,0.8937035799,789.9846191,0.8856965303,789.9846191,0.9021190405,789.9846191,1.072808146,789.9846191,1.102437377,789.9846191,1.105955243,
789.0103149,0.6797302365,789.0103149,0.6902863383,789.0103149,0.6942136288,789.0103149,0.8962070346,789.0103149,0.8893100023,789.0103149,0.8986782432,789.0103149,1.079013228,789.0103149,1.11150229,789.0103149,1.095028996,
788.0007935,0.6815927029,788.0007935,0.6953772306,788.0007935,0.6955999136,788.0007935,0.8998183608,788.0007935,0.8911924958,788.0007935,0.9057787061,788.0007935,1.082896709,788.0007935,1.111345291,788.0007935,1.103863001,
786.9909668,0.6866784692,786.9909668,0.6990763545,786.9909668,0.7005479932,786.9909668,0.9027538896,786.9909668,0.8936577439,786.9909668,0.9114518166,786.9909668,1.083974123,786.9909668,1.118116498,786.9909668,1.105906725,
