60%-1,,60%-2,,60%-3,,80%-1,,80%-2,,80%-3,,100%-1,,100%-2,,100%-3,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.4613397121,799.9841309,0.5854292512,799.9841309,0.5967780352,799.9841309,0.6615843773,799.9841309,0.6554623842,799.9841309,0.8024946451,799.9841309,0.9641232491,799.9841309,0.9935207963,799.9841309,0.8100172877,
799.0136719,0.4608539343,799.0136719,0.5827348232,799.0136719,0.5959127545,799.0136719,0.6660754681,799.0136719,0.6551914215,799.0136719,0.8019868731,799.0136719,0.9728336334,799.0136719,0.9951230288,799.0136719,0.8125920296,
798.0082397,0.461393863,798.0082397,0.5840326548,798.0082397,0.6003934741,798.0082397,0.6623219848,798.0082397,0.6530180573,798.0082397,0.7967665195,798.0082397,0.9676470757,798.0082397,0.9959131479,798.0082397,0.8076345325,
797.0023193,0.460645467,797.0023193,0.5848397613,797.0023193,0.595502913,797.0023193,0.6628054976,797.0023193,0.6533845663,797.0023193,0.7986477017,797.0023193,0.9632768035,797.0023193,0.9961276054,797.0023193,0.8152660131,
795.9959717,0.4622023702,795.9959717,0.5863969326,795.9959717,0.5979235768,795.9959717,0.6698024869,795.9959717,0.6525492668,795.9959717,0.799832046,795.9959717,0.9734905958,795.9959717,0.9986112714,795.9959717,0.8138318062,
794.9893188,0.4613903463,794.9893188,0.5861026049,794.9893188,0.6000782847,794.9893188,0.6662650108,794.9893188,0.6575636268,794.9893188,0.8013058901,794.9893188,0.9717831612,794.9893188,0.9989632368,794.9893188,0.8123959899,
794.0169067,0.4628448188,794.0169067,0.5866315961,794.0169067,0.6018313766,794.0169067,0.6633803248,794.0169067,0.6521475911,794.0169067,0.8041256666,794.0169067,0.9832089543,794.0169067,0.993131876,794.0169067,0.8136761189,
793.0094604,0.4660481811,793.0094604,0.5859345198,793.0094604,0.6015000343,793.0094604,0.666436255,793.0094604,0.6569244862,793.0094604,0.8103539348,793.0094604,0.9749654531,793.0094604,0.9940516353,793.0094604,0.81146878,
792.0015259,0.4632321,792.0015259,0.589754045,792.0015259,0.6031451821,792.0015259,0.6690455675,792.0015259,0.6575167775,792.0015259,0.8043267727,792.0015259,0.9689779878,792.0015259,0.9991118312,792.0015259,0.8147640824,
790.9932861,0.466822654,790.9932861,0.5907011032,790.9932861,0.6044275761,790.9932861,0.6701477766,790.9932861,0.6601788402,790.9932861,0.8060490489,790.9932861,0.9721213579,790.9932861,1.001677155,790.9932861,0.8214381933,
789.9846191,0.4660571218,789.9846191,0.5904468894,789.9846191,0.6037833095,789.9846191,0.6686236858,789.9846191,0.6594515443,789.9846191,0.8069980145,789.9846191,0.9698284864,789.9846191,1.009035826,789.9846191,0.8226926923,
789.0103149,0.4671909809,789.0103149,0.5928757191,789.0103149,0.604731679,789.0103149,0.6714123487,789.0103149,0.66166538,789.0103149,0.8068280816,789.0103149,0.9686588049,789.0103149,1.00639236,789.0103149,0.8170406818,
788.0007935,0.4652988315,788.0007935,0.5860571265,788.0007935,0.6065077186,788.0007935,0.6711813211,788.0007935,0.6600599885,788.0007935,0.8100816607,788.0007935,0.9810244441,788.0007935,1.000839591,788.0007935,0.8211343288,
786.9909668,0.4651875198,786.9909668,0.5890209675,786.9909668,0.6015877724,786.9909668,0.6729285121,786.9909668,0.6575319767,786.9909668,0.8071081638,786.9909668,0.976090014,786.9909668,1.004682541,786.9909668,0.8203238845,
786.015564,0.4680876732,786.015564,0.5920993686,786.015564,0.6061531305,786.015564,0.6724848151,786.015564,0.6613587141,786.015564,0.8110358715,786.015564,0.98161304,786.015564,1.00504458,786.015564,0.8243348598,
785.0048828,0.469474256,785.0048828,0.5925813317,785.0048828,0.6047850251,785.0048828,0.6750779152,785.0048828,0.6590678096,785.0048828,0.8082790971,785.0048828,0.9780758619,785.0048828,0.9975995421,785.0048828,0.8198643923,
783.9937744,0.4697492421,783.9937744,0.5954388976,783.9937744,0.6058552861,783.9937744,0.671910882,783.9937744,0.661655426,783.9937744,0.8126339316,783.9937744,0.9775959253,783.9937744,1.007022142,783.9937744,0.8235542178,
783.0172729,0.4695254266,783.0172729,0.593300581,783.0172729,0.6069278121,783.0172729,0.6744001508,783.0172729,0.6597445011,783.0172729,0.810923636,783.0172729,0.9819588661,783.0172729,1.007244825,783.0172729,0.8274718523,
782.0053711,0.4693573117,782.0053711,0.5964691043,782.0053711,0.6060388684,782.0053711,0.6763861179,782.0053711,0.664255619,782.0053711,0.8132330775,782.0053711,0.9813307524,782.0053711,1.013607502,782.0053711,0.8234913349,
780.9931641,0.4717364907,780.9931641,0.5963448882,780.9931641,0.6069653034,780.9931641,0.675599277,780.9931641,0.6636593938,780.9931641,0.8125445843,780.9931641,0.9779113531,780.9931641,1.013507009,780.9931641,0.8206276298,
780.0154419,0.4706234932,780.0154419,0.5946885943,780.0154419,0.6083872914,780.0154419,0.6727944613,780.0154419,0.6678994298,780.0154419,0.8138442039,780.0154419,0.9850943089,780.0154419,1.004367471,780.0154419,0.8276942968,
779.0025024,0.4693378508,779.0025024,0.5935454965,779.0025024,0.6073513031,779.0025024,0.6784291267,779.0025024,0.6650118232,779.0025024,0.8145319223,779.0025024,0.978012085,779.0025024,1.009206414,779.0025024,0.8264060616,
777.9890747,0.4740363657,777.9890747,0.5967575312,777.9890747,0.609623909,777.9890747,0.6769833565,777.9890747,0.6661151648,777.9890747,0.8173320293,777.9890747,0.9789010286,777.9890747,0.997736752,777.9890747,0.8253425956,
777.0102539,0.4736349285,777.0102539,0.5956639647,777.0102539,0.6117911339,777.0102539,0.6759095192,777.0102539,0.666672945,777.0102539,0.8164151907,777.0102539,0.9803635478,777.0102539,1.004330277,777.0102539,0.8277112246,
775.9960938,0.474593997,775.9960938,0.5960022211,775.9960938,0.611666441,775.9960938,0.6792234778,775.9960938,0.6658024788,775.9960938,0.8142778277,775.9960938,0.9861186147,775.9960938,1.012516022,775.9960938,0.830335319,
775.0164795,0.4760525823,775.0164795,0.5987276435,775.0164795,0.6146581769,775.0164795,0.6806052327,775.0164795,0.6687316298,775.0164795,0.8221019506,775.0164795,0.9893079996,775.0164795,1.014395475,775.0164795,0.8298822641,
774.0015259,0.4760918319,774.0015259,0.6018001437,774.0015259,0.613799274,774.0015259,0.6778395176,774.0015259,0.6695362329,774.0015259,0.8219497204,774.0015259,0.9853850007,774.0015259,1.016359687,774.0015259,0.8300737143,
