7120 60%-1,,7120 60%-2,,60%-3,,7120 80%-1,,7120 80%-2,,80%-3,,7120 100%-1,,7120 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
799.9841309,0.664094091,799.9841309,0.572332799,799.9841309,0.49417901,799.9841309,0.793836355,799.9841309,0.680024684,799.9841309,0.690751314,799.9841309,0.884779871,799.9841309,0.826390922,799.9841309,0.730367959
799.0136719,0.662139177,799.0136719,0.574441254,799.0136719,0.490827948,799.0136719,0.789693236,799.0136719,0.679969311,799.0136719,0.689016938,799.0136719,0.875023842,799.0136719,0.826128483,799.0136719,0.727777004
798.0082397,0.665082216,798.0082397,0.573769569,798.0082397,0.49295482,798.0082397,0.784407258,798.0082397,0.680840612,798.0082397,0.686264455,798.0082397,0.878748536,798.0082397,0.831110299,798.0082397,0.729389489
797.0023193,0.660044074,797.0023193,0.576546907,797.0023193,0.49330461,797.0023193,0.791637182,797.0023193,0.6805619,797.0023193,0.688391924,797.0023193,0.882860661,797.0023193,0.833543062,797.0023193,0.73077476
795.9959717,0.663355529,795.9959717,0.573479474,795.9959717,0.495942503,795.9959717,0.78898406,795.9959717,0.681319714,795.9959717,0.694507062,795.9959717,0.881608427,795.9959717,0.82717526,795.9959717,0.731250465
794.9893188,0.666051328,794.9893188,0.575608015,794.9893188,0.4970074,794.9893188,0.790872157,794.9893188,0.683109045,794.9893188,0.692954063,794.9893188,0.878031373,794.9893188,0.832345545,794.9893188,0.734658539
794.0169067,0.663672268,794.0169067,0.577139795,794.0169067,0.493405223,794.0169067,0.790533662,794.0169067,0.683064461,794.0169067,0.692196369,794.0169067,0.881110907,794.0169067,0.831032872,794.0169067,0.731275976
793.0094604,0.66399765,793.0094604,0.577445984,793.0094604,0.494771302,793.0094604,0.790588021,793.0094604,0.689702213,793.0094604,0.69105196,793.0094604,0.883727908,793.0094604,0.832164526,793.0094604,0.733417332
792.0015259,0.668173969,792.0015259,0.578502595,792.0015259,0.49749285,792.0015259,0.798754573,792.0015259,0.68563515,792.0015259,0.692537665,792.0015259,0.880003393,792.0015259,0.837346137,792.0015259,0.737893999
790.9932861,0.664715707,790.9932861,0.578270614,790.9932861,0.496374756,790.9932861,0.798068762,790.9932861,0.683647215,790.9932861,0.693604589,790.9932861,0.883868396,790.9932861,0.82888037,790.9932861,0.734302819
789.9846191,0.66806823,789.9846191,0.578523934,789.9846191,0.496182889,789.9846191,0.800480902,789.9846191,0.686479211,789.9846191,0.692701936,789.9846191,0.889885426,789.9846191,0.838164806,789.9846191,0.736439765
789.0103149,0.667748809,789.0103149,0.581121922,789.0103149,0.49649331,789.0103149,0.795506179,789.0103149,0.686678946,789.0103149,0.693550408,789.0103149,0.888819277,789.0103149,0.835352063,789.0103149,0.734356761
788.0007935,0.666666567,788.0007935,0.580594897,788.0007935,0.499500424,788.0007935,0.79791534,788.0007935,0.688847423,788.0007935,0.695467413,788.0007935,0.883206725,788.0007935,0.83925736,788.0007935,0.738656104
786.9909668,0.668955326,786.9909668,0.579829156,786.9909668,0.498903245,786.9909668,0.794992447,786.9909668,0.689057708,786.9909668,0.696736455,786.9909668,0.884463906,786.9909668,0.835770726,786.9909668,0.737593114
786.015564,0.668970108,786.015564,0.581411302,786.015564,0.499434739,786.015564,0.796282888,786.015564,0.68839705,786.015564,0.695745528,786.015564,0.894505501,786.015564,0.83445704,786.015564,0.738959551
785.0048828,0.66906476,785.0048828,0.58126688,785.0048828,0.498772681,785.0048828,0.802018106,785.0048828,0.689460278,785.0048828,0.696765065,785.0048828,0.887729764,785.0048828,0.840820253,785.0048828,0.736006618
783.9937744,0.672790349,783.9937744,0.581806302,783.9937744,0.499229342,783.9937744,0.802097619,783.9937744,0.69163686,783.9937744,0.695070505,783.9937744,0.890635431,783.9937744,0.838450372,783.9937744,0.736878216
783.0172729,0.672321081,783.0172729,0.582855582,783.0172729,0.501508474,783.0172729,0.802498221,783.0172729,0.692591846,783.0172729,0.70002383,783.0172729,0.891973198,783.0172729,0.839631558,783.0172729,0.743925154
782.0053711,0.672427893,782.0053711,0.585336328,782.0053711,0.504763424,782.0053711,0.803230643,782.0053711,0.693930388,782.0053711,0.698526204,782.0053711,0.891617358,782.0053711,0.841011286,782.0053711,0.737218976
780.9931641,0.673466682,780.9931641,0.585365892,780.9931641,0.503173053,780.9931641,0.807223856,780.9931641,0.695027888,780.9931641,0.701910198,780.9931641,0.887722433,780.9931641,0.845145404,780.9931641,0.740293264
780.0154419,0.672902703,780.0154419,0.585988879,780.0154419,0.502010286,780.0154419,0.803445578,780.0154419,0.69236809,780.0154419,0.704627037,780.0154419,0.894639492,780.0154419,0.841686666,780.0154419,0.739571273
779.0025024,0.67498225,779.0025024,0.586431623,779.0025024,0.500753582,779.0025024,0.804351509,779.0025024,0.695865572,779.0025024,0.697625399,779.0025024,0.898257077,779.0025024,0.846525788,779.0025024,0.742367089
777.9890747,0.678217709,777.9890747,0.590425432,777.9890747,0.50164634,777.9890747,0.812199235,777.9890747,0.69745636,777.9890747,0.705003321,777.9890747,0.891247392,777.9890747,0.846812546,777.9890747,0.740749538
777.0102539,0.676500619,777.0102539,0.589568853,777.0102539,0.504084885,777.0102539,0.808205307,777.0102539,0.696325302,777.0102539,0.702157557,777.0102539,0.899728775,777.0102539,0.848321378,777.0102539,0.743970513
775.9960938,0.67590338,775.9960938,0.591976583,775.9960938,0.503616154,775.9960938,0.810152113,775.9960938,0.696872771,775.9960938,0.703989267,775.9960938,0.898401797,775.9960938,0.844413281,775.9960938,0.743059754
775.0164795,0.678859234,775.0164795,0.592223764,775.0164795,0.503434479,775.0164795,0.812422216,775.0164795,0.698098779,775.0164795,0.704053462,775.0164795,0.902844191,775.0164795,0.852116346,775.0164795,0.747446358
774.0015259,0.677612603,774.0015259,0.588138104,774.0015259,0.50429076,774.0015259,0.814968944,774.0015259,0.698070943,774.0015259,0.705307126,774.0015259,0.905832231,774.0015259,0.848085165,774.0015259,0.745277166
772.9862061,0.679397762,772.9862061,0.590860188,772.9862061,0.50533694,772.9862061,0.811344922,772.9862061,0.699326038,772.9862061,0.705185831,772.9862061,0.900124133,772.9862061,0.847459674,772.9862061,0.747519851
772.0054932,0.680295348,772.0054932,0.591829002,772.0054932,0.50500983,772.0054932,0.811608076,772.0054932,0.699399293,772.0054932,0.709251285,772.0054932,0.904041648,772.0054932,0.849631548,772.0054932,0.747787714
770.9893799,0.67953521,770.9893799,0.593076646,770.9893799,0.504908264,770.9893799,0.814157844,770.9893799,0.701414347,770.9893799,0.707413673,770.9893799,0.898082674,770.9893799,0.851974011,770.9893799,0.747831881
770.0079346,0.680851817,770.0079346,0.592348516,770.0079346,0.509600759,770.0079346,0.812385619,770.0079346,0.699498832,770.0079346,0.70998317,770.0079346,0.899050653,770.0079346,0.842095196,770.0079346,0.747118771
768.9910278,0.680512726,768.9910278,0.592054844,768.9910278,0.510026753,768.9910278,0.814926982,768.9910278,0.702454984,768.9910278,0.708924055,768.9910278,0.901632845,768.9910278,0.850146055,768.9910278,0.746234775
768.0088501,0.683107555,768.0088501,0.592298329,768.0088501,0.509969056,768.0088501,0.81866467,768.0088501,0.705191493,768.0088501,0.71109134,768.0088501,0.9039222,768.0088501,0.85103792,768.0088501,0.752992511
766.991272,0.68307364,766.991272,0.596466899,766.991272,0.509098589,766.991272,0.814458966,766.991272,0.704746962,766.991272,0.711334884,766.991272,0.902785122,766.991272,0.854738176,766.991272,0.750669062
766.0083008,0.686295629,766.0083008,0.596485734,766.0083008,0.509035707,766.0083008,0.817133963,766.0083008,0.706131637,766.0083008,0.712177932,766.0083008,0.909593403,766.0083008,0.856793225,766.0083008,0.750441968
