7942 60%-2,,7942 80%-1,,7942 80%-2,,7942 100%-1,,7942 100%-2,,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,
799.9841309,0.6772359014,799.9841309,0.8759354949,799.9841309,0.8832513094,799.9841309,1.064320326,799.9841309,1.064633369,
799.0136719,0.6756131649,799.0136719,0.8801766038,799.0136719,0.8782471418,799.0136719,1.064151049,799.0136719,1.072770476,
798.0082397,0.6780282855,798.0082397,0.8867601752,798.0082397,0.8860242367,798.0082397,1.071796775,798.0082397,1.070097685,
797.0023193,0.6791585088,797.0023193,0.8854641318,797.0023193,0.8891995549,797.0023193,1.078030586,797.0023193,1.073825598,
795.9959717,0.6798372865,795.9959717,0.8886703849,795.9959717,0.8857153654,795.9959717,1.076812148,795.9959717,1.081018448,
794.9893188,0.6847974062,794.9893188,0.894084096,794.9893188,0.89738065,794.9893188,1.088996053,794.9893188,1.071343422,
794.0169067,0.6858875751,794.0169067,0.8947551847,794.0169067,0.8947435021,794.0169067,1.082452536,794.0169067,1.079341531,
793.0094604,0.6876345873,793.0094604,0.9001497626,793.0094604,0.9004152417,793.0094604,1.078918338,793.0094604,1.082653999,
792.0015259,0.691304028,792.0015259,0.8960273266,792.0015259,0.9061897993,792.0015259,1.093727946,792.0015259,1.093422771,
790.9932861,0.6887421608,790.9932861,0.9017276168,790.9932861,0.9085943699,790.9932861,1.083347797,790.9932861,1.094448686,
789.9846191,0.6952300072,789.9846191,0.9040188193,789.9846191,0.9063619971,789.9846191,1.094038129,789.9846191,1.099410057,
789.0103149,0.6934472919,789.0103149,0.901566565,789.0103149,0.9046478271,789.0103149,1.101308465,789.0103149,1.097938895,
788.0007935,0.6980266571,788.0007935,0.9037047625,788.0007935,0.9075402021,788.0007935,1.089787602,788.0007935,1.10474658,
786.9909668,0.6944764256,786.9909668,0.9058360457,786.9909668,0.9033663869,786.9909668,1.098309755,786.9909668,1.099463344,
786.015564,0.6998851299,786.015564,0.9063723683,786.015564,0.909833014,786.015564,1.104378939,786.015564,1.103597522,
785.0048828,0.7017006278,785.0048828,0.9154959917,785.0048828,0.9237301946,785.0048828,1.100198627,785.0048828,1.105212331,
783.9937744,0.7038533092,783.9937744,0.919903636,783.9937744,0.9161014557,783.9937744,1.099795699,783.9937744,1.108710766,
783.0172729,0.7058705688,783.0172729,0.9132861495,783.0172729,0.9189454913,783.0172729,1.109553099,783.0172729,1.111454129,
782.0053711,0.7061259747,782.0053711,0.9219207168,782.0053711,0.921415925,782.0053711,1.117916346,782.0053711,1.109778881,
780.9931641,0.7082008719,780.9931641,0.9223206043,780.9931641,0.9306910038,780.9931641,1.1162709,780.9931641,1.118685246,
780.0154419,0.7094807029,780.0154419,0.9297879934,780.0154419,0.9324683547,780.0154419,1.123727083,780.0154419,1.121468544,
779.0025024,0.7126350403,779.0025024,0.9304708838,779.0025024,0.9301535487,779.0025024,1.125477195,779.0025024,1.122259855,
777.9890747,0.7180127501,777.9890747,0.9296221733,777.9890747,0.931917727,777.9890747,1.128695369,777.9890747,1.132568359,
777.0102539,0.717741549,777.0102539,0.9362496138,777.0102539,0.9378215671,777.0102539,1.123385668,777.0102539,1.126871228,
775.9960938,0.7184621096,775.9960938,0.9379221797,775.9960938,0.9405254126,775.9960938,1.131018996,775.9960938,1.134455562,
775.0164795,0.7211770415,775.0164795,0.9396491647,775.0164795,0.939761579,775.0164795,1.136435032,775.0164795,1.127450943,
774.0015259,0.7225062251,774.0015259,0.9402825236,774.0015259,0.9432064295,774.0015259,1.136537671,774.0015259,1.134687662,
772.9862061,0.7251098752,772.9862061,0.941437006,772.9862061,0.9415496588,772.9862061,1.137563109,772.9862061,1.134836674,
772.0054932,0.7260299921,772.0054932,0.9438068271,772.0054932,0.9435195923,772.0054932,1.146567941,772.0054932,1.138448715,
770.9893799,0.7267190814,770.9893799,0.9487965703,770.9893799,0.9508846402,770.9893799,1.146246314,770.9893799,1.143609166,
