60%-3,,80%-3,,100%-3,,
²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,²¨³¤ (nm),Abs,
799.9841309,0.6470127702,799.9841309,0.8711525202,799.9841309,1.07819438,
799.0136719,0.6448783278,799.0136719,0.8776592016,799.0136719,1.0734514,
798.0082397,0.648686409,798.0082397,0.8746438622,798.0082397,1.074774146,
797.0023193,0.6476667523,797.0023193,0.8805027604,797.0023193,1.075812936,
795.9959717,0.6552561522,795.9959717,0.8825802207,795.9959717,1.084400654,
794.9893188,0.6546981931,794.9893188,0.8882766366,794.9893188,1.092090368,
794.0169067,0.6548920274,794.0169067,0.8810901046,794.0169067,1.089215994,
793.0094604,0.6583518982,793.0094604,0.8887287378,793.0094604,1.094242692,
792.0015259,0.6606867313,792.0015259,0.8891906142,792.0015259,1.089036942,
790.9932861,0.661788404,790.9932861,0.8959998488,790.9932861,1.093368769,
789.9846191,0.6623529196,789.9846191,0.8918200731,789.9846191,1.088667989,
789.0103149,0.6616417766,789.0103149,0.8910716772,789.0103149,1.090065002,
788.0007935,0.6645547152,788.0007935,0.9021835327,788.0007935,1.103717208,
786.9909668,0.6714815497,786.9909668,0.9033433795,786.9909668,1.103381157,
786.015564,0.6712306142,786.015564,0.9027438164,786.015564,1.105905533,
785.0048828,0.6685815454,785.0048828,0.9066439271,785.0048828,1.109085679,
783.9937744,0.673099637,783.9937744,0.9061508775,783.9937744,1.122787952,
783.0172729,0.6760723591,783.0172729,0.9111636281,783.0172729,1.120512486,
782.0053711,0.6781451106,782.0053711,0.9074946046,782.0053711,1.12430656,
780.9931641,0.6761325002,780.9931641,0.9160855412,780.9931641,1.120833755,
780.0154419,0.6794090271,780.0154419,0.9163315296,780.0154419,1.118152022,
779.0025024,0.6780821681,779.0025024,0.9122869372,779.0025024,1.116530776,
777.9890747,0.6825810075,777.9890747,0.9219115376,777.9890747,1.133794308,
777.0102539,0.6853553653,777.0102539,0.9292703867,777.0102539,1.13628149,
775.9960938,0.6873200536,775.9960938,0.9247450829,775.9960938,1.131773591,
775.0164795,0.6891086102,775.0164795,0.9285437465,775.0164795,1.138469577,
774.0015259,0.6904988289,774.0015259,0.9313393235,774.0015259,1.143612623,
772.9862061,0.6890985966,772.9862061,0.9320787191,772.9862061,1.149281263,
772.0054932,0.6946629286,772.0054932,0.9406362176,772.0054932,1.146313667,
770.9893799,0.6995896697,770.9893799,0.9424551129,770.9893799,1.140565515,
770.0079346,0.6968503594,770.0079346,0.9422351718,770.0079346,1.146496415,
768.9910278,0.7008219361,768.9910278,0.9409934878,768.9910278,1.15114975,
768.0088501,0.7006720901,768.0088501,0.9417077303,768.0088501,1.162087202,
766.991272,0.7079157829,766.991272,0.9453746676,766.991272,1.15904665,
766.0083008,0.7067846656,766.0083008,0.9555614591,766.0083008,1.155448794,
764.9899292,0.7107910514,764.9899292,0.9568564296,764.9899292,1.170523763,
764.0062866,0.7116886377,764.0062866,0.9581496119,764.0062866,1.165763021,
762.9870605,0.7115244269,762.9870605,0.9590788484,762.9870605,1.167067647,
762.0026855,0.7163017988,762.0026855,0.9610436559,762.0026855,1.169002771,
