7942 60%-1,,
²¨³¤ (nm),Abs,
799.9841309,0.6623612642,
799.0136719,0.6630467772,
798.0082397,0.6660760641,
797.0023193,0.6668766141,
795.9959717,0.6712569594,
794.9893188,0.669662714,
794.0169067,0.6719686985,
793.0094604,0.6731507182,
792.0015259,0.677580893,
790.9932861,0.6800131202,
789.9846191,0.6810048819,
789.0103149,0.6821222901,
788.0007935,0.6810791492,
786.9909668,0.6825043559,
786.015564,0.6862980723,
785.0048828,0.6933615208,
783.9937744,0.6900215149,
783.0172729,0.6940710545,
782.0053711,0.6946097016,
780.9931641,0.6941553354,
780.0154419,0.6993029118,
779.0025024,0.7013841271,
777.9890747,0.7050602436,
777.0102539,0.7035922408,
775.9960938,0.7056908011,
775.0164795,0.7086133957,
774.0015259,0.7102143168,
772.9862061,0.7096148133,
772.0054932,0.7136249542,
770.9893799,0.7172392607,
770.0079346,0.7166680694,
768.9910278,0.7206319571,
768.0088501,0.7225404382,
766.991272,0.7219510674,
766.0083008,0.7270575166,
764.9899292,0.7298234105,
764.0062866,0.7297738791,
762.9870605,0.730641067,
762.0026855,0.7367228866,
760.9827881,0.7373993397,
759.9976196,0.7398258448,
759.012146,0.7398835421,
757.9910889,0.7448188066,
757.0048218,0.7475329041,
755.9830933,0.750741601,
754.9960938,0.7518987656,
754.0087891,0.7542060018,
752.9859619,0.7557480335,
751.9978638,0.7601652145,
751.0095825,0.7590966821,
749.9854736,0.7629826069,
748.9963989,0.7624486685,
748.006958,0.765565455,
747.0170898,0.7706614733,
745.9916382,0.7720810771,
745.0010986,0.7752274871,
744.0101929,0.7784433365,
742.9835815,0.7832573056,
741.9920044,0.784504056,
741,0.7845219374,
740.0078125,0.7891688943,
739.0151367,0.7919732332,
737.9866943,0.7956997752,
736.9933472,0.7968344092,
735.9996338,0.8004860878,
735.0056152,0.8049319386,
734.0111694,0.8037169576,
733.0164185,0.8077930808,
731.9858398,0.8132541776,
730.9904175,0.8156571388,
729.9946289,0.8191221356,
728.9984741,0.8198953867,
728.0020142,0.8231714964,
727.005188,0.8275117874,
726.0079956,0.8333476782,
725.0105591,0.8338448405,
724.0126953,0.8383350968,
723.0145264,0.8413254023,
722.0159912,0.84777987,
721.0171509,0.8526211977,
