7942 60%-1,,7942 60%-2,,60%-3,,7942 80%-1,,7942 80%-2,,80%-3,,7942 100%-1,,7942 100%-2,,100%-3,
波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs,波长 (nm),Abs
799.9841309,0.662361264,799.9841309,0.677235901,799.9841309,0.64701277,799.9841309,0.875935495,799.9841309,0.883251309,799.9841309,0.87115252,799.9841309,1.064320326,799.9841309,1.064633369,799.9841309,1.07819438
799.0136719,0.663046777,799.0136719,0.675613165,799.0136719,0.644878328,799.0136719,0.880176604,799.0136719,0.878247142,799.0136719,0.877659202,799.0136719,1.064151049,799.0136719,1.072770476,799.0136719,1.0734514
798.0082397,0.666076064,798.0082397,0.678028286,798.0082397,0.648686409,798.0082397,0.886760175,798.0082397,0.886024237,798.0082397,0.874643862,798.0082397,1.071796775,798.0082397,1.070097685,798.0082397,1.074774146
797.0023193,0.666876614,797.0023193,0.679158509,797.0023193,0.647666752,797.0023193,0.885464132,797.0023193,0.889199555,797.0023193,0.88050276,797.0023193,1.078030586,797.0023193,1.073825598,797.0023193,1.075812936
795.9959717,0.671256959,795.9959717,0.679837287,795.9959717,0.655256152,795.9959717,0.888670385,795.9959717,0.885715365,795.9959717,0.882580221,795.9959717,1.076812148,795.9959717,1.081018448,795.9959717,1.084400654
794.9893188,0.669662714,794.9893188,0.684797406,794.9893188,0.654698193,794.9893188,0.894084096,794.9893188,0.89738065,794.9893188,0.888276637,794.9893188,1.088996053,794.9893188,1.071343422,794.9893188,1.092090368
794.0169067,0.671968699,794.0169067,0.685887575,794.0169067,0.654892027,794.0169067,0.894755185,794.0169067,0.894743502,794.0169067,0.881090105,794.0169067,1.082452536,794.0169067,1.079341531,794.0169067,1.089215994
793.0094604,0.673150718,793.0094604,0.687634587,793.0094604,0.658351898,793.0094604,0.900149763,793.0094604,0.900415242,793.0094604,0.888728738,793.0094604,1.078918338,793.0094604,1.082653999,793.0094604,1.094242692
792.0015259,0.677580893,792.0015259,0.691304028,792.0015259,0.660686731,792.0015259,0.896027327,792.0015259,0.906189799,792.0015259,0.889190614,792.0015259,1.093727946,792.0015259,1.093422771,792.0015259,1.089036942
790.9932861,0.68001312,790.9932861,0.688742161,790.9932861,0.661788404,790.9932861,0.901727617,790.9932861,0.90859437,790.9932861,0.895999849,790.9932861,1.083347797,790.9932861,1.094448686,790.9932861,1.093368769
789.9846191,0.681004882,789.9846191,0.695230007,789.9846191,0.66235292,789.9846191,0.904018819,789.9846191,0.906361997,789.9846191,0.891820073,789.9846191,1.094038129,789.9846191,1.099410057,789.9846191,1.088667989
789.0103149,0.68212229,789.0103149,0.693447292,789.0103149,0.661641777,789.0103149,0.901566565,789.0103149,0.904647827,789.0103149,0.891071677,789.0103149,1.101308465,789.0103149,1.097938895,789.0103149,1.090065002
788.0007935,0.681079149,788.0007935,0.698026657,788.0007935,0.664554715,788.0007935,0.903704763,788.0007935,0.907540202,788.0007935,0.902183533,788.0007935,1.089787602,788.0007935,1.10474658,788.0007935,1.103717208
786.9909668,0.682504356,786.9909668,0.694476426,786.9909668,0.67148155,786.9909668,0.905836046,786.9909668,0.903366387,786.9909668,0.90334338,786.9909668,1.098309755,786.9909668,1.099463344,786.9909668,1.103381157
786.015564,0.686298072,786.015564,0.69988513,786.015564,0.671230614,786.015564,0.906372368,786.015564,0.909833014,786.015564,0.902743816,786.015564,1.104378939,786.015564,1.103597522,786.015564,1.105905533
785.0048828,0.693361521,785.0048828,0.701700628,785.0048828,0.668581545,785.0048828,0.915495992,785.0048828,0.923730195,785.0048828,0.906643927,785.0048828,1.100198627,785.0048828,1.105212331,785.0048828,1.109085679
783.9937744,0.690021515,783.9937744,0.703853309,783.9937744,0.673099637,783.9937744,0.919903636,783.9937744,0.916101456,783.9937744,0.906150878,783.9937744,1.099795699,783.9937744,1.108710766,783.9937744,1.122787952
783.0172729,0.694071055,783.0172729,0.705870569,783.0172729,0.676072359,783.0172729,0.91328615,783.0172729,0.918945491,783.0172729,0.911163628,783.0172729,1.109553099,783.0172729,1.111454129,783.0172729,1.120512486
782.0053711,0.694609702,782.0053711,0.706125975,782.0053711,0.678145111,782.0053711,0.921920717,782.0053711,0.921415925,782.0053711,0.907494605,782.0053711,1.117916346,782.0053711,1.109778881,782.0053711,1.12430656
780.9931641,0.694155335,780.9931641,0.708200872,780.9931641,0.6761325,780.9931641,0.922320604,780.9931641,0.930691004,780.9931641,0.916085541,780.9931641,1.1162709,780.9931641,1.118685246,780.9931641,1.120833755
780.0154419,0.699302912,780.0154419,0.709480703,780.0154419,0.679409027,780.0154419,0.929787993,780.0154419,0.932468355,780.0154419,0.91633153,780.0154419,1.123727083,780.0154419,1.121468544,780.0154419,1.118152022
779.0025024,0.701384127,779.0025024,0.71263504,779.0025024,0.678082168,779.0025024,0.930470884,779.0025024,0.930153549,779.0025024,0.912286937,779.0025024,1.125477195,779.0025024,1.122259855,779.0025024,1.116530776
777.9890747,0.705060244,777.9890747,0.71801275,777.9890747,0.682581008,777.9890747,0.929622173,777.9890747,0.931917727,777.9890747,0.921911538,777.9890747,1.128695369,777.9890747,1.132568359,777.9890747,1.133794308
777.0102539,0.703592241,777.0102539,0.717741549,777.0102539,0.685355365,777.0102539,0.936249614,777.0102539,0.937821567,777.0102539,0.929270387,777.0102539,1.123385668,777.0102539,1.126871228,777.0102539,1.13628149
775.9960938,0.705690801,775.9960938,0.71846211,775.9960938,0.687320054,775.9960938,0.93792218,775.9960938,0.940525413,775.9960938,0.924745083,775.9960938,1.131018996,775.9960938,1.134455562,775.9960938,1.131773591
775.0164795,0.708613396,775.0164795,0.721177042,775.0164795,0.68910861,775.0164795,0.939649165,775.0164795,0.939761579,775.0164795,0.928543747,775.0164795,1.136435032,775.0164795,1.127450943,775.0164795,1.138469577
774.0015259,0.710214317,774.0015259,0.722506225,774.0015259,0.690498829,774.0015259,0.940282524,774.0015259,0.94320643,774.0015259,0.931339324,774.0015259,1.136537671,774.0015259,1.134687662,774.0015259,1.143612623
772.9862061,0.709614813,772.9862061,0.725109875,772.9862061,0.689098597,772.9862061,0.941437006,772.9862061,0.941549659,772.9862061,0.932078719,772.9862061,1.137563109,772.9862061,1.134836674,772.9862061,1.149281263
772.0054932,0.713624954,772.0054932,0.726029992,772.0054932,0.694662929,772.0054932,0.943806827,772.0054932,0.943519592,772.0054932,0.940636218,772.0054932,1.146567941,772.0054932,1.138448715,772.0054932,1.146313667
770.9893799,0.717239261,770.9893799,0.726719081,770.9893799,0.69958967,770.9893799,0.94879657,770.9893799,0.95088464,770.9893799,0.942455113,770.9893799,1.146246314,770.9893799,1.143609166,770.9893799,1.140565515
770.0079346,0.716668069,770.0079346,0.732093573,770.0079346,0.696850359,770.0079346,0.955200732,770.0079346,0.952961206,770.0079346,0.942235172,770.0079346,1.149918795,770.0079346,1.142057657,770.0079346,1.146496415
768.9910278,0.720631957,768.9910278,0.732207179,768.9910278,0.700821936,768.9910278,0.949497759,768.9910278,0.958274007,768.9910278,0.940993488,768.9910278,1.147964478,768.9910278,1.144551396,768.9910278,1.15114975
768.0088501,0.722540438,768.0088501,0.736522198,768.0088501,0.70067209,768.0088501,0.951237738,768.0088501,0.961347759,768.0088501,0.94170773,768.0088501,1.15119791,768.0088501,1.146532416,768.0088501,1.162087202
766.991272,0.721951067,766.991272,0.737116396,766.991272,0.707915783,766.991272,0.95496738,766.991272,0.96290493,766.991272,0.945374668,766.991272,1.1521281,766.991272,1.155173659,766.991272,1.15904665
766.0083008,0.727057517,766.0083008,0.734923482,766.0083008,0.706784666,766.0083008,0.957747102,766.0083008,0.961059392,766.0083008,0.955561459,766.0083008,1.161352038,766.0083008,1.159885168,766.0083008,1.155448794
764.9899292,0.729823411,764.9899292,0.742703199,764.9899292,0.710791051,764.9899292,0.96626699,764.9899292,0.96665597,764.9899292,0.95685643,764.9899292,1.155005813,764.9899292,1.158118606,764.9899292,1.170523763
764.0062866,0.729773879,764.0062866,0.741387904,764.0062866,0.711688638,764.0062866,0.965645969,764.0062866,0.97092104,764.0062866,0.958149612,764.0062866,1.161207795,764.0062866,1.16265285,764.0062866,1.165763021
762.9870605,0.730641067,762.9870605,0.746885479,762.9870605,0.711524427,762.9870605,0.967512786,762.9870605,0.968467653,762.9870605,0.959078848,762.9870605,1.159137964,762.9870605,1.169184566,762.9870605,1.167067647
762.0026855,0.736722887,762.0026855,0.746663392,762.0026855,0.716301799,762.0026855,0.97500068,762.0026855,0.972117007,762.0026855,0.961043656,762.0026855,1.168687582,762.0026855,1.163387656,762.0026855,1.169002771
760.9827881,0.73739934,760.9827881,0.748557091,760.9827881,0.719752371,760.9827881,0.968760908,760.9827881,0.977485955,760.9827881,0.963291526,760.9827881,1.174876571,760.9827881,1.169505,760.9827881,1.171290278
759.9976196,0.739825845,759.9976196,0.752901733,759.9976196,0.718665242,759.9976196,0.977517843,759.9976196,0.98357439,759.9976196,0.970181346,759.9976196,1.169838071,759.9976196,1.177305222,759.9976196,1.186279893
759.012146,0.739883542,759.012146,0.75683111,759.012146,0.719340563,759.012146,0.984104514,759.012146,0.987902105,759.012146,0.967665374,759.012146,1.177188277,759.012146,1.176138639,759.012146,1.183317542
757.9910889,0.744818807,757.9910889,0.755547941,757.9910889,0.721381664,757.9910889,0.980456412,757.9910889,0.984515846,757.9910889,0.977861047,757.9910889,1.173269987,757.9910889,1.187919021,757.9910889,1.191232324
757.0048218,0.747532904,757.0048218,0.761941195,757.0048218,0.725816906,757.0048218,0.983716846,757.0048218,0.982098937,757.0048218,0.974505663,757.0048218,1.181769729,757.0048218,1.179936886,757.0048218,1.188653827
